"","eeacellcode","pd"
"358","1kmE3808N3135",14635.79104
"359","1kmE3808N3136",17776.463168
"360","1kmE3808N3137",21650.2422765
"361","1kmE3808N3138",20407.2431965
"362","1kmE3808N3139",19808.1419715
"363","1kmE3808N3140",18887.170279
"364","1kmE3808N3141",18357.399398
"365","1kmE3808N3142",3114.310018
"366","1kmE3808N3143",205.0163905
"367","1kmE3809N3094",1479.282095
"368","1kmE3809N3095",2875.3219
"369","1kmE3809N3096",6299.923326
"370","1kmE3809N3097",8452.511647
"371","1kmE3809N3098",8150.4654915
"372","1kmE3809N3099",8919.8662295
"373","1kmE3809N3100",9693.8761905
"374","1kmE3809N3101",9059.220808
"375","1kmE3809N3102",3940.8476165
"376","1kmE3809N3103",4753.7085915
"377","1kmE3809N3104",4374.5966935
"378","1kmE3809N3105",3520.6955995
"379","1kmE3809N3106",6148.7679915
"380","1kmE3809N3107",9212.7634375
"381","1kmE3809N3108",5102.3192135
"382","1kmE3809N3109",5972.0255925
"383","1kmE3809N3110",6040.709391
"384","1kmE3809N3111",6766.545846
"385","1kmE3809N3112",7290.38415
"386","1kmE3809N3113",6222.3099815
"387","1kmE3809N3114",2332.1298665
"388","1kmE3809N3115",2227.860164
"389","1kmE3809N3116",2859.655668
"390","1kmE3809N3117",5989.848318
"391","1kmE3809N3118",10639.7156295
"392","1kmE3809N3119",7979.6353585
"393","1kmE3809N3120",9418.888688
"394","1kmE3809N3121",8951.3271145
"395","1kmE3809N3122",4156.503714
"396","1kmE3809N3123",3606.6216335
"397","1kmE3809N3124",4739.2512475
"398","1kmE3809N3125",7199.66946
"399","1kmE3809N3126",6226.70708
"400","1kmE3809N3127",7204.70511
"401","1kmE3809N3128",8269.2043255
"402","1kmE3809N3129",12449.5946335
"403","1kmE3809N3130",12905.4518215
"404","1kmE3809N3131",11433.266944
"405","1kmE3809N3132",13901.672038
"406","1kmE3809N3133",14093.4357915
"407","1kmE3809N3134",11574.7479555
"408","1kmE3809N3135",12408.45341
"409","1kmE3809N3136",19546.3133815
"410","1kmE3809N3137",22384.2953815
"411","1kmE3809N3138",21579.8313295
"412","1kmE3809N3139",20595.3476435
"413","1kmE3809N3140",18272.589201
"414","1kmE3809N3141",18623.3721715
"415","1kmE3809N3142",9668.243713
"416","1kmE3810N3080",205.01639
"417","1kmE3810N3093",382.5064865
"418","1kmE3810N3094",3239.883924
"419","1kmE3810N3095",3558.5545145
"420","1kmE3810N3096",6168.407955
"421","1kmE3810N3097",7949.2059365
"422","1kmE3810N3098",8132.24161
"423","1kmE3810N3099",10681.26898
"424","1kmE3810N3100",11672.520295
"425","1kmE3810N3101",9339.7482685
"426","1kmE3810N3102",5449.230187
"427","1kmE3810N3103",3117.1458735
"428","1kmE3810N3104",3749.4281935
"429","1kmE3810N3105",3697.8690315
"430","1kmE3810N3106",1990.208539
"431","1kmE3810N3107",7006.834942
"432","1kmE3810N3108",7101.729533
"433","1kmE3810N3109",4760.9198555
"434","1kmE3810N3110",5777.332235
"435","1kmE3810N3111",5782.3766165
"436","1kmE3810N3112",4845.3553155
"437","1kmE3810N3113",2320.4730105
"438","1kmE3810N3114",875.393939999999
"439","1kmE3810N3115",993.7651225
"440","1kmE3810N3116",1646.6732955
"441","1kmE3810N3117",6076.339221
"442","1kmE3810N3118",11900.3948795
"443","1kmE3810N3119",9553.81934
"444","1kmE3810N3120",6067.274476
"445","1kmE3810N3121",9009.770772
"446","1kmE3810N3122",6650.3848295
"447","1kmE3810N3123",5512.4974885
"448","1kmE3810N3124",4464.512597
"449","1kmE3810N3125",9309.2750675
"450","1kmE3810N3126",10022.8423755
"451","1kmE3810N3127",9567.178004
"452","1kmE3810N3128",9692.6952815
"453","1kmE3810N3129",13785.089835
"454","1kmE3810N3130",12339.191211
"455","1kmE3810N3131",12850.058648
"456","1kmE3810N3132",12939.829467
"457","1kmE3810N3133",14354.47234
"458","1kmE3810N3134",9970.0336105
"459","1kmE3810N3135",11681.5443695
"460","1kmE3810N3136",21300.073403
"461","1kmE3810N3137",23813.0552365
"462","1kmE3810N3138",24176.2371845
"463","1kmE3810N3139",22140.2060755
"464","1kmE3810N3140",19074.6179715
"465","1kmE3810N3141",19478.1462845
"466","1kmE3810N3142",9698.121303
"467","1kmE3811N3080",205.016389
"468","1kmE3811N3093",2149.4154705
"469","1kmE3811N3094",4726.5785645
"470","1kmE3811N3095",4232.607558
"471","1kmE3811N3096",6369.9194315
"472","1kmE3811N3097",8802.043056
"473","1kmE3811N3098",9735.522222
"474","1kmE3811N3099",10977.772718
"475","1kmE3811N3100",12582.1988455
"476","1kmE3811N3101",11175.337833
"477","1kmE3811N3102",6301.515067
"478","1kmE3811N3103",4239.053145
"479","1kmE3811N3104",3654.2728235
"480","1kmE3811N3105",5071.8484025
"481","1kmE3811N3106",5491.514946
"482","1kmE3811N3107",6482.4754005
"483","1kmE3811N3108",4025.086683
"484","1kmE3811N3109",5515.1714715
"485","1kmE3811N3110",6821.90914
"486","1kmE3811N3111",4731.093405
"487","1kmE3811N3112",3839.635482
"488","1kmE3811N3113",2096.5198285
"489","1kmE3811N3114",3080.2794775
"490","1kmE3811N3115",1610.11849
"491","1kmE3811N3116",2929.19312
"492","1kmE3811N3117",4675.1116175
"493","1kmE3811N3118",7552.368776
"494","1kmE3811N3119",10204.7216725
"495","1kmE3811N3120",7066.312707
"496","1kmE3811N3121",11660.6480375
"497","1kmE3811N3122",6812.763312
"498","1kmE3811N3123",3626.904046
"499","1kmE3811N3124",5099.7999675
"500","1kmE3811N3125",7847.501911
"501","1kmE3811N3126",9475.073882
"502","1kmE3811N3127",8748.091375
"503","1kmE3811N3128",9991.5382455
"504","1kmE3811N3129",14375.4175935
"505","1kmE3811N3130",13985.6440375
"506","1kmE3811N3131",12733.9514905
"507","1kmE3811N3132",12975.817377
"508","1kmE3811N3133",9843.577861
"509","1kmE3811N3134",10946.376375
"510","1kmE3811N3135",11202.17933
"511","1kmE3811N3136",11473.347941
"512","1kmE3811N3137",23496.3451355
"513","1kmE3811N3138",24563.650531
"514","1kmE3811N3139",25559.248358
"515","1kmE3811N3140",21118.8087565
"516","1kmE3811N3141",17332.1896185
"517","1kmE3811N3142",368.695213
"518","1kmE3812N3086",205.0163895
"519","1kmE3812N3092",542.0758775
"520","1kmE3812N3093",4613.9057215
"521","1kmE3812N3094",9267.943971
"522","1kmE3812N3095",7513.7535585
"523","1kmE3812N3096",5989.6268425
"524","1kmE3812N3097",9660.0080475
"525","1kmE3812N3098",11060.393011
