"","eeacellcode","pd_loss"
"154","5kmE3860N3090",217.667379000002
"155","5kmE3860N3095",225.612564999999
"156","5kmE3860N3100",218.641775
"157","5kmE3860N3105",278.322192
"158","5kmE3860N3110",137.264998000002
"159","5kmE3860N3115",150.750576000002
"160","5kmE3860N3120",12.3415524999982
"161","5kmE3860N3125",491.468432000001
"162","5kmE3860N3130",573.159639000001
"163","5kmE3860N3135",644.717279500001
"164","5kmE3860N3140",451.248923000003
"165","5kmE3860N3145",482.667064999998
"166","5kmE3860N3150",1349.765421
"167","5kmE3860N3155",1664.1834825
"168","5kmE3860N3160",985.724048
"169","5kmE3865N3085",147.356070500002
"170","5kmE3865N3090",177.255354999998
"171","5kmE3865N3095",413.017769499998
"172","5kmE3865N3100",635.22465
"173","5kmE3865N3105",138.749169499999
"174","5kmE3865N3110",181.242591500002
"175","5kmE3865N3115",548.742331000001
"176","5kmE3865N3120",327.2606275
"177","5kmE3865N3125",547.532015000001
"178","5kmE3865N3130",806.944750999999
"179","5kmE3865N3135",472.0056085
"180","5kmE3865N3140",570.381375000001
"181","5kmE3865N3145",902.462403999998
"182","5kmE3865N3150",1286.3646615
"183","5kmE3870N3085",517.4055085
"184","5kmE3870N3090",287.897066500002
"185","5kmE3870N3095",439.686488000003
"186","5kmE3870N3100",591.16633
"187","5kmE3870N3105",251.373042500003
"188","5kmE3870N3110",332.614465999999
"189","5kmE3870N3115",415.834427499998
"190","5kmE3870N3120",568.185567500001
"191","5kmE3870N3125",427.672072000001
"192","5kmE3870N3130",390.186762500001
"193","5kmE3870N3135",296.755323000001
"194","5kmE3870N3140",385.051790000001
"195","5kmE3870N3145",298.806120000001
"196","5kmE3870N3150",584.752456500002
"197","5kmE3875N3090",208.047720499999
"198","5kmE3875N3095",187.880133499999
"199","5kmE3875N3100",182.064139999999
"200","5kmE3875N3105",529.61521
"201","5kmE3875N3110",418.777576
"202","5kmE3875N3115",1186.0047925
"203","5kmE3875N3120",1177.2951285
"204","5kmE3875N3125",1219.4641055
"205","5kmE3875N3130",755.823935
"206","5kmE3875N3135",297.906245999999
"207","5kmE3875N3140",227.393445000002
"208","5kmE3875N3145",1114.9908575
"209","5kmE3875N3150",1106.235293
"210","5kmE3880N3085",25.4806834999981
"211","5kmE3880N3090",258.136035
"212","5kmE3880N3095",496.4789155
"213","5kmE3880N3100",267.910215
"214","5kmE3880N3105",131.415702499999
"215","5kmE3880N3110",663.3051165
"216","5kmE3880N3115",1211.0010915
"217","5kmE3880N3120",1816.3907975
"218","5kmE3880N3125",1232.268906
"219","5kmE3880N3130",287.038349499999
"220","5kmE3880N3135",703.972553
"221","5kmE3880N3140",485.9513425
"222","5kmE3880N3145",1189.241299
"223","5kmE3885N3080",0
"224","5kmE3885N3085",152.6517785
"225","5kmE3885N3090",179.066925499999
"226","5kmE3885N3095",282.111591499997
"227","5kmE3885N3100",227.650427
"228","5kmE3885N3105",314.380011000001
"229","5kmE3885N3110",779.182433999998
"230","5kmE3885N3115",1133.3203195
"231","5kmE3885N3120",1300.433229
"232","5kmE3885N3125",838.823749499999
"233","5kmE3885N3130",996.327637499999
"234","5kmE3885N3135",707.493669000003
"235","5kmE3885N3140",584.010758500001
"236","5kmE3885N3145",1234.3641005
"237","5kmE3890N3080",201.843101499999
"238","5kmE3890N3085",212.324261999998
"239","5kmE3890N3090",407.8344645
"240","5kmE3890N3095",494.123835499999
"241","5kmE3890N3100",146.256452000001
"242","5kmE3890N3105",590.661034000001
"243","5kmE3890N3110",917.372459499999
"244","5kmE3890N3115",855.056849000001
"245","5kmE3890N3120",700.682442500001
"246","5kmE3890N3125",307.039673000003
"247","5kmE3890N3130",514.153387000002
"248","5kmE3890N3135",1105.0630545
"249","5kmE3890N3140",814.214147000002
"250","5kmE3895N3080",455.828667499998
"251","5kmE3895N3085",123.327154500003
"252","5kmE3895N3090",378.875639000002
"253","5kmE3895N3095",565.170871499999
"254","5kmE3895N3100",323.548840500003
"255","5kmE3895N3105",493.407138999999
"256","5kmE3895N3110",1120.9515185
"257","5kmE3895N3115",949.419093500001
"258","5kmE3895N3120",414.158926
"259","5kmE3895N3125",392.073178000002
"260","5kmE3895N3130",1096.4370565
"261","5kmE3895N3135",1219.153882
"262","5kmE3895N3140",923.442467000001
"263","5kmE3900N3080",82.9730679999993
"264","5kmE3900N3085",0
"265","5kmE3900N3090",187.5401375
"266","5kmE3900N3095",288.593901
"267","5kmE3900N3100",456.861670499999
"268","5kmE3900N3105",793.150750500001
"269","5kmE3900N3110",452.275531499999
"270","5kmE3900N3115",425.146556
"271","5kmE3900N3120",383.687917499999
"272","5kmE3900N3125",578.819938500001
"273","5kmE3900N3130",789.532533500002
"274","5kmE3900N3135",1282.140726
"275","5kmE3900N3140",1566.5610995
"276","5kmE3905N3080",82.9730679999993
"277","5kmE3905N3085",90.9508815000008
"278","5kmE3905N3090",367.464379500001
"279","5kmE3905N3095",548.430944
"280","5kmE3905N3100",442.604240500001
"281","5kmE3905N3105",553.821512999999
"282","5kmE3905N3110",343.248404999998
"283","5kmE3905N3115",683.833201499998
"284","5kmE3905N3120",579.828249000002
"285","5kmE3905N3125",147.755957499998
"286","5kmE3905N3130",505.751614500001
"287","5kmE3905N3135",606.964421500001
"288","5kmE3905N3140",1519.90972
"289","5kmE3910N3080",175.567746000001
"290","5kmE3910N3085",56.066084500002
"291","5kmE3910N3090",230.400369000003
"292","5kmE3910N3095",238.619893000003
"293","5kmE3910N3100",378.789471
"294","5kmE3910N3105",364.288572499998
"295","5kmE3910N3110",119.113906500002
"296","5kmE3910N3115",194.552179999999
"297","5kmE3910N3120",845.680791999999
"298","5kmE3910N3125",727.194686499999
"299","5kmE3910N3130",498.278276500001
"300","5kmE3910N3135",615.235517500001
"301","5kmE3910N3140",747.973553
"302","5kmE3910N3145",871.659253499998
"303","5kmE3915N3080",936.822895000001
"304","5kmE3915N3085",460.989214500001
"305","5kmE3915N3090",448.986606999999
"306","5kmE3915N3095",576.9576715
"307","5kmE3915N3100",317.220224500001
"308","5kmE3915N3105",466.323946999997
"309","5kmE3915N3110",198.678827
"310","5kmE3915N3115",232.85399
"311","5kmE3915N3120",1284.413411
"312","5kmE3915N3125",1229.5619645
"313","5kmE3915N3130",377.119943000002
"314","5kmE3915N3135",39.4308999999994
