"","eeacellcode","pd"
"278","5kmE3905N3090",22958.9833215
"279","5kmE3905N3095",23244.741542
"280","5kmE3905N3100",25548.3878725
"281","5kmE3905N3105",26175.65148
"282","5kmE3905N3110",24472.691975
"283","5kmE3905N3115",26221.6649145
"284","5kmE3905N3120",24820.3447795
"285","5kmE3905N3125",24886.2523125
"286","5kmE3905N3130",24354.571167
"287","5kmE3905N3135",25779.524511
"288","5kmE3905N3140",29318.1331165
"289","5kmE3910N3080",25409.548528
"290","5kmE3910N3085",23086.237317
"291","5kmE3910N3090",24816.2255475
"292","5kmE3910N3095",23901.4174855
"293","5kmE3910N3100",24308.845562
"294","5kmE3910N3105",24243.297395
"295","5kmE3910N3110",23391.255553
"296","5kmE3910N3115",25504.082417
"297","5kmE3910N3120",26787.897662
"298","5kmE3910N3125",26935.178702
"299","5kmE3910N3130",23083.4865105
"300","5kmE3910N3135",22751.8456285
"301","5kmE3910N3140",26753.7416855
"302","5kmE3910N3145",26068.699235
"303","5kmE3915N3080",26507.3287595
"304","5kmE3915N3085",26486.7818735
"305","5kmE3915N3090",26226.0298115
"306","5kmE3915N3095",26353.5549085
"307","5kmE3915N3100",25216.339103
"308","5kmE3915N3105",23101.0067425
"309","5kmE3915N3110",23354.2888485
"310","5kmE3915N3115",24451.4827715
"311","5kmE3915N3120",28189.897378
"312","5kmE3915N3125",29003.5398495
"313","5kmE3915N3130",23397.0359855
"314","5kmE3915N3135",24053.21254
"315","5kmE3915N3140",25247.0396075
"316","5kmE3915N3145",24864.1944655
"317","5kmE3915N3150",21528.8802895
"318","5kmE3915N3155",23061.9594925
"319","5kmE3920N3080",24924.645103
"320","5kmE3920N3085",28375.268036
"321","5kmE3920N3090",28475.488608
"322","5kmE3920N3095",26992.3971445
"323","5kmE3920N3100",28335.096101
"324","5kmE3920N3105",26752.1266095
"325","5kmE3920N3110",23468.856521
"326","5kmE3920N3115",24732.933498
"327","5kmE3920N3120",29032.877889
"328","5kmE3920N3125",28746.2658485
"329","5kmE3920N3130",26220.2602035
"330","5kmE3920N3135",26022.468026
"331","5kmE3920N3140",25072.405538
"332","5kmE3920N3145",24760.746594
"333","5kmE3920N3150",25923.492619
"334","5kmE3920N3155",28348.648294
"335","5kmE3925N3080",22085.229628
"336","5kmE3925N3085",25888.6285995
"337","5kmE3925N3090",30138.531954
"338","5kmE3925N3095",28545.8026815
"339","5kmE3925N3100",28290.900805
"340","5kmE3925N3105",25715.7174295
"341","5kmE3925N3110",26520.415068
"342","5kmE3925N3115",27346.843205
"343","5kmE3925N3120",28277.685294
"344","5kmE3925N3125",27509.397263
"345","5kmE3925N3130",28821.456542
"346","5kmE3925N3135",30127.824903
"347","5kmE3925N3140",27149.9734115
"348","5kmE3925N3145",27538.515093
"349","5kmE3925N3150",28433.4051595
"350","5kmE3925N3155",28496.963292
"351","5kmE3930N3080",24006.653802
"352","5kmE3930N3085",25841.076713
"353","5kmE3930N3090",27320.4743915
"354","5kmE3930N3095",26600.521519
"355","5kmE3930N3100",24905.5005595
"356","5kmE3930N3105",26064.940963
"357","5kmE3930N3110",27346.660805
"358","5kmE3930N3115",27843.637071
"359","5kmE3930N3120",26673.829269
"360","5kmE3930N3125",27456.635202
"361","5kmE3930N3130",29006.8842945
"362","5kmE3930N3135",30218.9295475
"363","5kmE3930N3140",29732.9949045
"364","5kmE3930N3145",27373.344523
"365","5kmE3930N3150",26222.86776
"366","5kmE3930N3155",25327.1707085
"367","5kmE3930N3160",27419.292896
"368","5kmE3930N3165",25935.309102
"369","5kmE3935N3080",20960.3052095
"370","5kmE3935N3085",25059.3387
"371","5kmE3935N3090",26249.459786
"372","5kmE3935N3095",25546.990061
"373","5kmE3935N3100",26861.8403205
"374","5kmE3935N3105",26723.598465
"375","5kmE3935N3110",28314.628851
"376","5kmE3935N3115",27865.050581
"377","5kmE3935N3120",26635.716943
"378","5kmE3935N3125",26861.0328905
"379","5kmE3935N3130",26504.6480835
"380","5kmE3935N3135",28253.637718
"381","5kmE3935N3140",28398.354304
"382","5kmE3935N3145",27803.381035
"383","5kmE3935N3150",26412.197079
"384","5kmE3935N3155",28209.8071145
"385","5kmE3935N3160",27573.9441115
"386","5kmE3935N3165",28189.468836
"387","5kmE3940N3080",21560.126981
"388","5kmE3940N3085",27224.81179
"389","5kmE3940N3090",29344.4753835
"390","5kmE3940N3095",27687.017233
"391","5kmE3940N3100",26944.6182145
"392","5kmE3940N3105",26901.3043885
"393","5kmE3940N3110",27695.9268505
"394","5kmE3940N3115",23302.3936055
"395","5kmE3940N3120",23660.7834345
"396","5kmE3940N3125",29377.9699895
"397","5kmE3940N3130",28360.6628005
"398","5kmE3940N3135",29182.264866
"399","5kmE3940N3140",27227.8335715
"400","5kmE3940N3145",26804.163068
"401","5kmE3940N3150",24995.0178285
"402","5kmE3940N3155",25333.748387
"403","5kmE3940N3160",26322.518962
"404","5kmE3940N3165",26967.1165915
"405","5kmE3945N3085",23125.1022915
"406","5kmE3945N3090",28570.152707
"407","5kmE3945N3095",30488.4286765
"408","5kmE3945N3100",29543.037232
"409","5kmE3945N3105",27246.7879565
"410","5kmE3945N3110",25385.649971
"411","5kmE3945N3115",22084.1889495
"412","5kmE3945N3120",22065.1410795
"413","5kmE3945N3125",26355.4435725
"414","5kmE3945N3130",28758.2404435
"415","5kmE3945N3135",27631.5149775
"416","5kmE3945N3140",24644.1373475
"417","5kmE3945N3145",23695.7662715
"418","5kmE3945N3150",26533.9002615
"419","5kmE3945N3155",25269.1908895
"420","5kmE3945N3160",24663.330118
"421","5kmE3950N3085",20039.552169
"422","5kmE3950N3090",26542.4616325
"423","5kmE3950N3095",29374.7009275
"424","5kmE3950N3100",29772.626823
"425","5kmE3950N3105",29795.277804
"426","5kmE3950N3110",25986.23641
"427","5kmE3950N3115",23780.1091595
"428","5kmE3950N3120",25053.4843845
"429","5kmE3950N3125",24168.014339
"430","5kmE3950N3130",27763.834301
"431","5kmE3950N3135",27472.985379
"432","5kmE3950N3140",25868.989365
"433","5kmE3950N3145",24740.738803
"434","5kmE3950N3150",23104.011126
"435","5kmE3950N3155",24140.760267
"436","5kmE3950N3160",25634.0259465
"437","5kmE3950N3165",27116.296426
"438","5kmE3955N3085",24611.437366
"439","5kmE3955N3090",27469.910165
"440","5kmE3955N3095",27257.191837
"441","5kmE3955N3100",27874.924477
"442","5kmE3955N3105",29637.030732
"443","5kmE3955N3110",28762.650701
"444","5kmE3955N3115",26244.3536635
"445","5kmE3955N3120",23971.2575595
"446","5kmE3955N3125",22898.0983755
"447","5kmE3955N3130",28038.8281025
"448","5kmE3955N3135",28123.337359
"449","5kmE3955N3140",26931.1114705
"450","5kmE3955N3145",25492.8251445
"451","5kmE3955N3150",24930.499522
"452","5kmE3955N3155",25903.0886365
"453","5kmE3955N3160",27412.649892
"454","5kmE3955N3165",30514.7903875
"455","5kmE3960N3080",18331.366243
"456","5kmE3960N3085",25489.182908
"457","5kmE3960N3090",27416.2871765
"458","5kmE3960N3095",26017.1728055
"459","5kmE3960N3100",26805.393838
"460","5kmE3960N3105",28307.285008
"461","5kmE3960N3110",27744.2425685
"462","5kmE3960N3115",27050.106527
"463","5kmE3960N3120",26252.0658275
"464","5kmE3960N3125",24447.279926
"465","5kmE3960N3130",26799.358586
"466","5kmE3960N3135",25879.435149
"467","5kmE3960N3140",26433.3460015
"468","5kmE3960N3145",26056.2265165
"469","5kmE3960N3150",27497.5418715
"470","5kmE3960N3155",27424.955841
"471","5kmE3960N3160",28046.595714
"472","5kmE3960N3165",30234.551204
"473","5kmE3965N3080",17662.799796
"474","5kmE3965N3085",25163.232424
"475","5kmE3965N3090",26215.154983
"476","5kmE3965N3095",25001.09379
"477","5kmE3965N3100",25233.4297085
"478","5kmE3965N3105",26828.05302
"479","5kmE3965N3110",29081.439312
"480","5kmE3965N3115",26686.4009415
"481","5kmE3965N3120",27702.14734
"482","5kmE3965N3125",24433.3885715
"483","5kmE3965N3130",25593.684573
"484","5kmE3965N3135",25025.75757
"485","5kmE3965N3140",27547.6967985
"486","5kmE3965N3145",28786.110147
"487","5kmE3965N3150",28945.1000425
"488","5kmE3965N3155",28495.862764
"489","5kmE3965N3160",26411.218584
"490","5kmE3970N3075",17379.291392
"491","5kmE3970N3080",22245.987379
"492","5kmE3970N3085",23242.382232
"493","5kmE3970N3090",24889.318979
"494","5kmE3970N3095",24898.7597135
"495","5kmE3970N3100",25891.974286
"496","5kmE3970N3105",28840.8204035
"497","5kmE3970N3110",28215.819166
"498","5kmE3970N3115",25820.495616
"499","5kmE3970N3120",25488.202941
"500","5kmE3970N3125",25636.0797305
"501","5kmE3970N3130",26076.6506545
"502","5kmE3970N3135",25078.564212
"503","5kmE3970N3140",24899.4542015
"504","5kmE3970N3145",27482.660595
"505","5kmE3970N3150",27397.241357
"506","5kmE3970N3155",24988.232097
"507","5kmE3970N3160",26352.070964
"508","5kmE3975N3075",21476.257854
"509","5kmE3975N3080",23495.169703
"510","5kmE3975N3085",23572.3546405
"511","5kmE3975N3090",26844.745754
"512","5kmE3975N3095",26642.8446855
"513","5kmE3975N3100",26689.026167
"514","5kmE3975N3105",29128.991142
"515","5kmE3975N3110",26338.720346
"516","5kmE3975N3115",23996.979945
"517","5kmE3975N3120",23148.024785
"518","5kmE3975N3125",25923.989106
"519","5kmE3975N3130",26116.2096775
"520","5kmE3975N3135",24932.7417895
"521","5kmE3975N3140",24950.1101415
"522","5kmE3975N3145",25389.685195
"523","5kmE3975N3150",24296.448121
"524","5kmE3975N3155",24174.8641875
"525","5kmE3975N3160",27378.5003835
"526","5kmE3980N3075",19834.250317
"527","5kmE3980N3080",23182.200257
"528","5kmE3980N3085",25499.3486555
"529","5kmE3980N3090",28176.202908
"530","5kmE3980N3095",26170.8815835
"531","5kmE3980N3100",26460.954879
"532","5kmE3980N3105",27883.740397
"533","5kmE3980N3110",24577.7465585
"534","5kmE3980N3115",25235.6519135
"535","5kmE3980N3120",24464.379852
"536","5kmE3980N3125",25903.5301585
"537","5kmE3980N3130",28521.7520175
"538","5kmE3980N3135",27699.910113
"539","5kmE3980N3140",26244.5232575
"540","5kmE3980N3145",25464.591779
"541","5kmE3980N3150",25118.21923
"542","5kmE3980N3155",25620.0195845
"543","5kmE3980N3160",26744.276907
"544","5kmE3985N3075",21125.336688
"545","5kmE3985N3080",24564.51896
"546","5kmE3985N3085",24532.071828
"547","5kmE3985N3090",24935.4628465
"548","5kmE3985N3095",25633.701378
"549","5kmE3985N3100",29322.963236
"550","5kmE3985N3105",29044.445641
"551","5kmE3985N3110",25448.2347695
"552","5kmE3985N3115",26775.2112945
"553","5kmE3985N3120",25929.5976775
"554","5kmE3985N3125",25151.733579
"555","5kmE3985N3130",27180.4455305
"556","5kmE3985N3135",27291.7437755
"557","5kmE3985N3140",25334.599064
"558","5kmE3985N3145",24298.4959095
"559","5kmE3990N3075",15798.1695935
"560","5kmE3990N3080",23075.611312
"561","5kmE3990N3085",25168.401275
"562","5kmE3990N3090",25574.797878
"563","5kmE3990N3095",27279.1333
"564","5kmE3990N3100",30338.4816995
"565","5kmE3990N3105",29393.4376105
"566","5kmE3990N3110",28451.3667765
"567","5kmE3990N3115",27513.3365445
