"","eeacellcode","pd"
"229","5kmE3885N3110",25617.5800885
"230","5kmE3885N3115",28916.15707
"231","5kmE3885N3120",30847.095527
"232","5kmE3885N3125",27028.1778555
"233","5kmE3885N3130",27051.304633
"234","5kmE3885N3135",26979.863485
"235","5kmE3885N3140",26379.0723485
"236","5kmE3885N3145",28711.9322065
"237","5kmE3890N3080",18730.159095
"238","5kmE3890N3085",23819.5921275
"239","5kmE3890N3090",25924.0805875
"240","5kmE3890N3095",23677.215848
"241","5kmE3890N3100",22280.0055915
"242","5kmE3890N3105",22416.179722
"243","5kmE3890N3110",26235.4552715
"244","5kmE3890N3115",28390.330075
"245","5kmE3890N3120",24051.4572655
"246","5kmE3890N3125",21959.683024
"247","5kmE3890N3130",26396.1651955
"248","5kmE3890N3135",29046.7969615
"249","5kmE3890N3140",26246.794664
"250","5kmE3895N3080",20768.900317
"251","5kmE3895N3085",21861.252154
"252","5kmE3895N3090",23619.556979
"253","5kmE3895N3095",24477.936122
"254","5kmE3895N3100",23259.145294
"255","5kmE3895N3105",24945.375654
"256","5kmE3895N3110",29141.643511
"257","5kmE3895N3115",28603.4768385
"258","5kmE3895N3120",25460.3285305
"259","5kmE3895N3125",25101.8494065
"260","5kmE3895N3130",28517.901651
"261","5kmE3895N3135",28717.9805825
"262","5kmE3895N3140",27348.748389
"263","5kmE3900N3080",19888.6779445
"264","5kmE3900N3085",20682.861275
"265","5kmE3900N3090",23386.042502
"266","5kmE3900N3095",25605.5422825
"267","5kmE3900N3100",27232.0066475
"268","5kmE3900N3105",29081.3485685
"269","5kmE3900N3110",26977.0460985
"270","5kmE3900N3115",26648.665238
"271","5kmE3900N3120",24990.6190165
"272","5kmE3900N3125",27631.5424735
"273","5kmE3900N3130",27889.7642195
"274","5kmE3900N3135",29309.8768475
"275","5kmE3900N3140",29112.918968
"276","5kmE3905N3080",17087.9452185
"277","5kmE3905N3085",20973.8562615
"278","5kmE3905N3090",23326.447701
"279","5kmE3905N3095",23793.172486
"280","5kmE3905N3100",25990.992113
"281","5kmE3905N3105",26729.472993
"282","5kmE3905N3110",24815.94038
"283","5kmE3905N3115",26905.498116
"284","5kmE3905N3120",25400.1730285
"285","5kmE3905N3125",25034.00827
"286","5kmE3905N3130",24860.3227815
"287","5kmE3905N3135",26386.4889325
"288","5kmE3905N3140",30838.0428365
"289","5kmE3910N3080",25585.116274
"290","5kmE3910N3085",23142.3034015
"291","5kmE3910N3090",25046.6259165
"292","5kmE3910N3095",24140.0373785
"293","5kmE3910N3100",24687.635033
"294","5kmE3910N3105",24607.5859675
"295","5kmE3910N3110",23510.3694595
"296","5kmE3910N3115",25698.634597
"297","5kmE3910N3120",27633.578454
"298","5kmE3910N3125",27662.3733885
"299","5kmE3910N3130",23581.764787
"300","5kmE3910N3135",23367.081146
"301","5kmE3910N3140",27501.7152385
"302","5kmE3910N3145",26940.3584885
"303","5kmE3915N3080",27444.1516545
"304","5kmE3915N3085",26947.771088
"305","5kmE3915N3090",26675.0164185
"306","5kmE3915N3095",26930.51258
"307","5kmE3915N3100",25533.5593275
"308","5kmE3915N3105",23567.3306895
"309","5kmE3915N3110",23552.9676755
"310","5kmE3915N3115",24684.3367615
"311","5kmE3915N3120",29474.310789
"312","5kmE3915N3125",30233.101814
"313","5kmE3915N3130",23774.1559285
"314","5kmE3915N3135",24092.64344
"315","5kmE3915N3140",25879.415238
"316","5kmE3915N3145",25626.087574
"317","5kmE3915N3150",22063.453175
"318","5kmE3915N3155",23855.6493345
"319","5kmE3920N3080",25060.782677
"320","5kmE3920N3085",29028.374964
"321","5kmE3920N3090",29784.0416675
"322","5kmE3920N3095",28001.7533405
